|photoFullPath|Marker1|Marker2|Marker3|Marker4|ColorLeft|ColorRight|GrayScaleRight|GreyScaleLeft|CircleTop|CircleRight|CircleBottom|CircleLeft
0|./source_to_label/20201124_231655.jpg|(0.23, 0.265)|(0.77, 0.2733333333333333)|(0.77, 0.8833333333333333)|(0.22, 0.9016666666666666)|(0.2, 0.37166666666666665)|(0.805, 0.38166666666666665)|(0.8, 0.7716666666666666)|(0.2275, 0.7866666666666666)|(0.505, 0.4166666666666667)|(0.7175, 0.57)|(0.4975, 0.7333333333333333)|(0.285, 0.565)
1|./source_to_label/20201124_231657.jpg|(0.2325, 0.25833333333333336)|(0.71, 0.255)|(0.735, 0.8216666666666667)|(0.2125, 0.8433333333333334)|(0.195, 0.3516666666666667)|(0.755, 0.3466666666666667)|(0.7675, 0.72)|(0.2225, 0.7333333333333333)|(0.475, 0.3883333333333333)|(0.675, 0.5283333333333333)|(0.48, 0.6866666666666666)|(0.275, 0.5333333333333333)
2|./source_to_label/20201124_231658.jpg|(0.23, 0.2816666666666667)|(0.6825, 0.265)|(0.7225, 0.805)|(0.2325, 0.8216666666666667)|(0.2, 0.37)|(0.7175, 0.3566666666666667)|(0.745, 0.7016666666666667)|(0.23, 0.7216666666666667)|(0.465, 0.395)|(0.655, 0.515)|(0.475, 0.6733333333333333)|(0.285, 0.5266666666666666)
3|./source_to_label/20201124_231730.jpg|(0.1925, 0.14666666666666667)|(0.72, 0.17)|(0.7725, 0.7616666666666667)|(0.2175, 0.795)|(0.155, 0.25333333333333335)|(0.7575, 0.27)|(0.795, 0.6516666666666666)|(0.21, 0.6783333333333333)|(0.48, 0.3)|(0.695, 0.44333333333333336)|(0.5025, 0.6233333333333333)|(0.2625, 0.455)
4|./source_to_label/20201124_231731.jpg|(0.215, 0.175)|(0.745, 0.19666666666666666)|(0.7725, 0.785)|(0.2275, 0.825)|(0.1825, 0.285)|(0.785, 0.3)|(0.8075, 0.675)|(0.2325, 0.7133333333333334)|(0.4925, 0.33166666666666667)|(0.71, 0.47833333333333333)|(0.5125, 0.655)|(0.285, 0.4866666666666667)
5|./source_to_label/20201124_231733.jpg|(0.2325, 0.19166666666666668)|(0.76, 0.215)|(0.7675, 0.8083333333333333)|(0.24, 0.84)|(0.19, 0.30833333333333335)|(0.8, 0.32166666666666666)|(0.7975, 0.7016666666666667)|(0.2375, 0.73)|(0.5075, 0.3516666666666667)|(0.715, 0.5)|(0.5175, 0.6766666666666666)|(0.2925, 0.51)
6|./source_to_label/20201124_231734.jpg|(0.2025, 0.22166666666666668)|(0.7375, 0.23166666666666666)|(0.7425, 0.83)|(0.205, 0.8483333333333334)|(0.1625, 0.325)|(0.78, 0.3333333333333333)|(0.77, 0.72)|(0.2025, 0.7366666666666667)|(0.475, 0.36833333333333335)|(0.69, 0.5166666666666667)|(0.4825, 0.69)|(0.2625, 0.5216666666666666)
7|./source_to_label/20201124_231735.jpg|(0.1775, 0.2)|(0.6975, 0.20333333333333334)|(0.7075, 0.7933333333333333)|(0.1825, 0.8083333333333333)|(0.145, 0.30833333333333335)|(0.735, 0.305)|(0.7475, 0.6866666666666666)|(0.1875, 0.6966666666666667)|(0.445, 0.3416666666666667)|(0.6525, 0.4866666666666667)|(0.445, 0.6566666666666666)|(0.2325, 0.495)
8|./source_to_label/20201124_231736.jpg|(0.16, 0.20666666666666667)|(0.665, 0.19)|(0.69, 0.7783333333333333)|(0.16, 0.7916666666666666)|(0.13, 0.30666666666666664)|(0.7025, 0.2916666666666667)|(0.7225, 0.6716666666666666)|(0.1675, 0.6816666666666666)|(0.4125, 0.33166666666666667)|(0.6225, 0.4666666666666667)|(0.4225, 0.6383333333333333)|(0.2175, 0.47333333333333333)
9|./source_to_label/20201124_231738.jpg|(0.1725, 0.19333333333333333)|(0.68, 0.15833333333333333)|(0.72, 0.7816666666666666)|(0.17, 0.7883333333333333)|(0.1425, 0.2916666666666667)|(0.7275, 0.26166666666666666)|(0.76, 0.6633333333333333)|(0.1725, 0.6766666666666666)|(0.43, 0.31)|(0.6475, 0.45666666666666667)|(0.4375, 0.6283333333333333)|(0.22, 0.47333333333333333)
10|./source_to_label/20201124_231740.jpg|(0.2225, 0.17833333333333334)|(0.7375, 0.16166666666666665)|(0.7725, 0.78)|(0.195, 0.78)|(0.1825, 0.27)|(0.78, 0.255)|(0.8075, 0.6616666666666666)|(0.2, 0.665)|(0.4775, 0.29833333333333334)|(0.6975, 0.44666666666666666)|(0.4775, 0.6166666666666667)|(0.265, 0.455)
11|./source_to_label/20201124_231741.jpg|(0.2375, 0.17166666666666666)|(0.745, 0.18833333333333332)|(0.8125, 0.7933333333333333)|(0.2125, 0.81)|(0.1875, 0.2733333333333333)|(0.79, 0.28)|(0.8375, 0.68)|(0.215, 0.6933333333333334)|(0.4975, 0.315)|(0.725, 0.465)|(0.5, 0.6366666666666667)|(0.2725, 0.47333333333333333)
12|./source_to_label/20201124_231742.jpg|(0.2175, 0.23166666666666666)|(0.7375, 0.225)|(0.795, 0.8416666666666667)|(0.2175, 0.865)|(0.18, 0.3283333333333333)|(0.785, 0.325)|(0.8225, 0.7233333333333334)|(0.215, 0.7416666666666667)|(0.4875, 0.3616666666666667)|(0.7125, 0.5083333333333333)|(0.505, 0.6883333333333334)|(0.275, 0.5233333333333333)
13|./source_to_label/20201124_231745.jpg|(0.1925, 0.16666666666666666)|(0.7125, 0.16833333333333333)|(0.795, 0.7683333333333333)|(0.1675, 0.79)|(0.165, 0.25333333333333335)|(0.755, 0.25833333333333336)|(0.8175, 0.6483333333333333)|(0.1825, 0.665)|(0.4625, 0.2916666666666667)|(0.69, 0.43166666666666664)|(0.4775, 0.605)|(0.245, 0.43666666666666665)
14|./source_to_label/20201124_231747.jpg|(0.19, 0.155)|(0.6875, 0.15833333333333333)|(0.77, 0.73)|(0.165, 0.7566666666666667)|(0.1425, 0.24833333333333332)|(0.7225, 0.24)|(0.79, 0.6066666666666667)|(0.1675, 0.6333333333333333)|(0.4425, 0.2733333333333333)|(0.665, 0.4083333333333333)|(0.46, 0.58)|(0.23, 0.41833333333333333)
15|./source_to_label/20201124_231755.jpg|(0.2075, 0.22333333333333333)|(0.775, 0.215)|(0.7675, 0.7933333333333333)|(0.265, 0.8116666666666666)|(0.1825, 0.34)|(0.7975, 0.32666666666666666)|(0.795, 0.7)|(0.255, 0.725)|(0.4925, 0.37333333333333335)|(0.7125, 0.5166666666666667)|(0.505, 0.6783333333333333)|(0.2975, 0.5283333333333333)
16|./source_to_label/20201124_231757.jpg|(0.18, 0.2)|(0.715, 0.17333333333333334)|(0.7575, 0.7533333333333333)|(0.2675, 0.7866666666666666)|(0.1725, 0.305)|(0.7625, 0.2833333333333333)|(0.7875, 0.6583333333333333)|(0.2575, 0.6883333333333334)|(0.47, 0.33166666666666667)|(0.69, 0.46166666666666667)|(0.51, 0.6316666666666667)|(0.285, 0.5)
17|./source_to_label/20201124_231759.jpg|(0.2175, 0.195)|(0.7275, 0.19)|(0.7475, 0.7533333333333333)|(0.2425, 0.765)|(0.2, 0.29)|(0.7675, 0.29)|(0.7725, 0.6566666666666666)|(0.25, 0.6733333333333333)|(0.4825, 0.325)|(0.6875, 0.46)|(0.5, 0.6233333333333333)|(0.29, 0.47833333333333333)
18|./source_to_label/20201124_231801.jpg|(0.255, 0.195)|(0.75, 0.215)|(0.7725, 0.7633333333333333)|(0.2625, 0.7933333333333333)|(0.22, 0.2916666666666667)|(0.775, 0.30833333333333335)|(0.7925, 0.6633333333333333)|(0.265, 0.685)|(0.5, 0.3433333333333333)|(0.705, 0.4766666666666667)|(0.515, 0.64)|(0.315, 0.49333333333333335)
19|./source_to_label/20201124_231802.jpg|(0.285, 0.19166666666666668)|(0.7675, 0.21166666666666667)|(0.78, 0.7583333333333333)|(0.3025, 0.7883333333333333)|(0.25, 0.2916666666666667)|(0.8, 0.30666666666666664)|(0.81, 0.6583333333333333)|(0.305, 0.6866666666666666)|(0.54, 0.34)|(0.73, 0.48)|(0.55, 0.6366666666666667)|(0.355, 0.49)
